n_graphs, sys_matrix, graph_type, n_nodes, graph_param, density_avg, density_std, input, edge_score, quantity_pair_in_quotations, metric_1, corr_coef_avg_1, corr_coef_std_1, metric_2, corr_coef_avg_2, corr_coef_std_2
100, adjacency, connected_RG, 20, 0.75, 0.804, 0.0601, all_ones, random, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.893, 0.0779, kendalltau, 0.769, 0.0975, 
100, adjacency, BA, 20, 8, 0.653, 2.22E-16, all_ones, random, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.935, 0.0532, kendalltau, 0.809, 0.0726, 
100, adjacency, connected_ER, 20, 0.7, 0.701, 0.0353, identity, random, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.97, 0.0384, kendalltau, 0.88, 0.0641, 
100, adjacency, connected_RG, 20, 0.75, 0.804, 0.0601, identity, random, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.881, 0.0805, kendalltau, 0.758, 0.0966, 
100, adjacency, BA, 20, 8, 0.653, 2.22E-16, identity, random, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.937, 0.0649, kendalltau, 0.814, 0.0744, 
100, adjacency, connected_ER, 20, 0.7, 0.701, 0.0353, zfs, random, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.965, 0.0502, kendalltau, 0.874, 0.0709, 
100, adjacency, connected_RG, 20, 0.75, 0.804, 0.0601, zfs, random, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.885, 0.078, kendalltau, 0.758, 0.0967, 
100, adjacency, BA, 20, 8, 0.653, 2.22E-16, zfs, random, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.939, 0.044, kendalltau, 0.813, 0.0632, 
100, adjacency, connected_ER, 20, 0.7, 0.701, 0.0353, zfs_transf, random, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.97, 0.0311, kendalltau, 0.878, 0.0523, 
100, adjacency, connected_RG, 20, 0.75, 0.804, 0.0601, zfs_transf, random, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.899, 0.067, kendalltau, 0.777, 0.0878, 
100, adjacency, BA, 20, 8, 0.653, 2.22E-16, zfs_transf, random, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.929, 0.0531, kendalltau, 0.802, 0.0679, 
100, adjacency, connected_ER, 20, 0.7, 0.701, 0.0353, zfs_new, random, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.964, 0.0523, kendalltau, 0.874, 0.0694, 
100, adjacency, connected_RG, 20, 0.75, 0.804, 0.0601, zfs_new, random, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.895, 0.0659, kendalltau, 0.771, 0.0858, 
100, adjacency, BA, 20, 8, 0.653, 2.22E-16, zfs_new, random, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.927, 0.0699, kendalltau, 0.802, 0.0866, 
100, neg_laplacian, connected_ER, 20, 0.3, 0.297, 0.0291, identity, ETEC, " ('sys_mat_spec_dist', 'ETEC')", spearmanr, 0.969, 0.0282, kendalltau, 0.897, 0.0549, " ('ETEC', 'Wc_spec_dist')", spearmanr, 0.97, 0.0286, kendalltau, 0.897, 0.0557, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.998, 0.00332, kendalltau, 0.975, 0.0137, 
100, neg_laplacian, connected_RG, 20, 0.25, 0.182, 0.0273, identity, ETEC, " ('sys_mat_spec_dist', 'ETEC')", spearmanr, 0.993, 0.00684, kendalltau, 0.961, 0.0208, " ('ETEC', 'Wc_spec_dist')", spearmanr, 0.993, 0.00674, kendalltau, 0.96, 0.0216, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 1, 0.000515, kendalltau, 0.992, 0.00459, 
100, neg_laplacian, BA, 20, 3, 0.289, 1.11e-16, identity, ETEC, " ('sys_mat_spec_dist', 'ETEC')", spearmanr, 0.958, 0.0193, kendalltau, 0.878, 0.0358, " ('ETEC', 'Wc_spec_dist')", spearmanr, 0.957, 0.0221, kendalltau, 0.877, 0.0405, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.999, 0.00166, kendalltau, 0.982, 0.00835, 
100, adjacency, connected_ER, 20, 0.3, 0.297, 0.0291, identity, ETEC, " ('sys_mat_spec_dist', 'ETEC')", spearmanr, 0.958, 0.0358, kendalltau, 0.862, 0.0617, " ('ETEC', 'Wc_spec_dist')", spearmanr, 0.967, 0.0286, kendalltau, 0.893, 0.055, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.985, 0.0121, kendalltau, 0.919, 0.0341, 
100, adjacency, connected_RG, 20, 0.25, 0.182, 0.0273, identity, ETEC, " ('sys_mat_spec_dist', 'ETEC')", spearmanr, 0.992, 0.00533, kendalltau, 0.945, 0.0184, " ('ETEC', 'Wc_spec_dist')", spearmanr, 0.992, 0.00717, kendalltau, 0.959, 0.021, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.993, 0.00528, kendalltau, 0.948, 0.0217, 
100, adjacency, BA, 20, 3, 0.289, 1.11e-16, identity, ETEC, " ('sys_mat_spec_dist', 'ETEC')", spearmanr, 0.946, 0.028, kendalltau, 0.839, 0.0439, " ('ETEC', 'Wc_spec_dist')", spearmanr, 0.957, 0.018, kendalltau, 0.874, 0.0332, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.981, 0.0201, kendalltau, 0.913, 0.043, 
100, neg_laplacian, connected_ER, 20, 0.3, 0.297, 0.0291, identity, ETEC_sys_mat, " ('sys_mat_spec_dist', 'ETEC_sys_mat')", spearmanr, 0.982, 0.0186, kendalltau, 0.924, 0.0417, " ('ETEC_sys_mat', 'Wc_spec_dist')", spearmanr, 0.982, 0.02, kendalltau, 0.919, 0.043, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.998, 0.00171, kendalltau, 0.979, 0.00997, 
100, neg_laplacian, connected_RG, 20, 0.25, 0.182, 0.0273, identity, ETEC_sys_mat, " ('sys_mat_spec_dist', 'ETEC_sys_mat')", spearmanr, 0.995, 0.00664, kendalltau, 0.967, 0.0212, " ('ETEC_sys_mat', 'Wc_spec_dist')", spearmanr, 0.995, 0.00595, kendalltau, 0.967, 0.0204, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 1, 0.000669, kendalltau, 0.991, 0.00541, 
100, neg_laplacian, BA, 20, 3, 0.289, 1.11e-16, identity, ETEC_sys_mat, " ('sys_mat_spec_dist', 'ETEC_sys_mat')", spearmanr, 0.976, 0.0215, kendalltau, 0.912, 0.0411, " ('ETEC_sys_mat', 'Wc_spec_dist')", spearmanr, 0.975, 0.0218, kendalltau, 0.909, 0.0425, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.998, 0.0032, kendalltau, 0.98, 0.011, 
100, neg_laplacian, connected_ER, 20, 0.5, 0.503, 0.0317, identity, ETEC, " ('sys_mat_spec_dist', 'ETEC')", spearmanr, 0.212, 0.286, kendalltau, 0.158, 0.222, " ('ETEC', 'Wc_spec_dist')", spearmanr, 0.177, 0.304, kendalltau, 0.128, 0.233, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.974, 0.0362, kendalltau, 0.89, 0.063, 
100, neg_laplacian, connected_RG, 20, 0.5, 0.469, 0.0669, identity, ETEC, " ('sys_mat_spec_dist', 'ETEC')", spearmanr, 0.546, 0.238, kendalltau, 0.448, 0.205, " ('ETEC', 'Wc_spec_dist')", spearmanr, 0.577, 0.231, kendalltau, 0.457, 0.207, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.977, 0.0363, kendalltau, 0.912, 0.0525, 
100, neg_laplacian, BA, 20, 5, 0.447, 0, identity, ETEC, " ('sys_mat_spec_dist', 'ETEC')", spearmanr, 0.611, 0.103, kendalltau, 0.482, 0.1, " ('ETEC', 'Wc_spec_dist')", spearmanr, 0.622, 0.107, kendalltau, 0.492, 0.104, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.995, 0.00458, kendalltau, 0.954, 0.0166, 
100, adjacency, connected_ER, 20, 0.5, 0.503, 0.0317, identity, ETEC, " ('sys_mat_spec_dist', 'ETEC')", spearmanr, 0.415, 0.251, kendalltau, 0.308, 0.203, " ('ETEC', 'Wc_spec_dist')", spearmanr, 0.17, 0.301, kendalltau, 0.139, 0.227, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.737, 0.219, kendalltau, 0.576, 0.186, 
100, adjacency, connected_RG, 20, 0.5, 0.469, 0.0669, identity, ETEC, " ('sys_mat_spec_dist', 'ETEC')", spearmanr, 0.945, 0.0542, kendalltau, 0.836, 0.0806, " ('ETEC', 'Wc_spec_dist')", spearmanr, 0.45, 0.321, kendalltau, 0.394, 0.245, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.534, 0.307, kendalltau, 0.452, 0.233, 
100, adjacency, BA, 20, 5, 0.447, 0, identity, ETEC, " ('sys_mat_spec_dist', 'ETEC')", spearmanr, 0.62, 0.12, kendalltau, 0.468, 0.105, " ('ETEC', 'Wc_spec_dist')", spearmanr, 0.59, 0.11, kendalltau, 0.466, 0.101, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.904, 0.0676, kendalltau, 0.757, 0.0808, 
100, neg_laplacian, connected_ER, 20, 0.5, 0.503, 0.0317, identity, ETEC_sys_mat, " ('sys_mat_spec_dist', 'ETEC_sys_mat')", spearmanr, 0.292, 0.329, kendalltau, 0.223, 0.254, " ('ETEC_sys_mat', 'Wc_spec_dist')", spearmanr, 0.285, 0.345, kendalltau, 0.217, 0.266, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.963, 0.0426, kendalltau, 0.867, 0.0739, 
100, neg_laplacian, connected_RG, 20, 0.5, 0.469, 0.0669, identity, ETEC_sys_mat, " ('sys_mat_spec_dist', 'ETEC_sys_mat')", spearmanr, 0.53, 0.326, kendalltau, 0.416, 0.28, " ('ETEC_sys_mat', 'Wc_spec_dist')", spearmanr, 0.59, 0.297, kendalltau, 0.46, 0.264, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.953, 0.0597, kendalltau, 0.863, 0.0916, 
100, neg_laplacian, BA, 20, 5, 0.447, 0, identity, ETEC_sys_mat, " ('sys_mat_spec_dist', 'ETEC_sys_mat')", spearmanr, 0.681, 0.152, kendalltau, 0.536, 0.142, " ('ETEC_sys_mat', 'Wc_spec_dist')", spearmanr, 0.715, 0.133, kendalltau, 0.565, 0.13, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.988, 0.0138, kendalltau, 0.928, 0.0347, 
100, neg_laplacian, connected_ER, 20, 0.7, 0.701, 0.0353, identity, ETEC, " ('sys_mat_spec_dist', 'ETEC')", spearmanr, 0.955, 0.087, kendalltau, 0.882, 0.114, " ('ETEC', 'Wc_spec_dist')", spearmanr, 0.95, 0.0896, kendalltau, 0.871, 0.115, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.993, 0.0106, kendalltau, 0.958, 0.0315, 
100, neg_laplacian, connected_RG, 20, 0.75, 0.804, 0.0601, identity, ETEC, " ('sys_mat_spec_dist', 'ETEC')", spearmanr, 0.938, 0.0741, kendalltau, 0.861, 0.111, " ('ETEC', 'Wc_spec_dist')", spearmanr, 0.921, 0.0963, kendalltau, 0.836, 0.137, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.988, 0.0266, kendalltau, 0.953, 0.0476, 
100, neg_laplacian, BA, 20, 8, 0.653, 2.22e-16, identity, ETEC, " ('sys_mat_spec_dist', 'ETEC')", spearmanr, 0.611, 0.111, kendalltau, 0.469, 0.107, " ('ETEC', 'Wc_spec_dist')", spearmanr, 0.477, 0.146, kendalltau, 0.345, 0.135, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.948, 0.0356, kendalltau, 0.85, 0.0536, 
100, adjacency, connected_ER, 20, 0.7, 0.701, 0.0353, identity, ETEC, " ('sys_mat_spec_dist', 'ETEC')", spearmanr, 0.923, 0.0758, kendalltau, 0.804, 0.0958, " ('ETEC', 'Wc_spec_dist')", spearmanr, 0.704, 0.347, kendalltau, 0.684, 0.27, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.758, 0.241, kendalltau, 0.67, 0.202, 
100, adjacency, connected_RG, 20, 0.75, 0.804, 0.0601, identity, ETEC, " ('sys_mat_spec_dist', 'ETEC')", spearmanr, 0.982, 0.0146, kendalltau, 0.913, 0.0317, " ('ETEC', 'Wc_spec_dist')", spearmanr, 0.47, 0.419, kendalltau, 0.528, 0.325, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.481, 0.417, kendalltau, 0.513, 0.324, 
100, adjacency, BA, 20, 8, 0.653, 2.22e-16, identity, ETEC, " ('sys_mat_spec_dist', 'ETEC')", spearmanr, 0.752, 0.0915, kendalltau, 0.597, 0.0902, " ('ETEC', 'Wc_spec_dist')", spearmanr, -0.19, 0.22, kendalltau, -0.0278, 0.137, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.15, 0.218, kendalltau, 0.162, 0.138, 
100, neg_laplacian, connected_ER, 20, 0.7, 0.701, 0.0353, identity, ETEC_sys_mat, " ('sys_mat_spec_dist', 'ETEC_sys_mat')", spearmanr, 0.975, 0.0371, kendalltau, 0.912, 0.0659, " ('ETEC_sys_mat', 'Wc_spec_dist')", spearmanr, 0.974, 0.0359, kendalltau, 0.907, 0.0664, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.997, 0.00536, kendalltau, 0.97, 0.0204, 
100, neg_laplacian, connected_RG, 20, 0.75, 0.804, 0.0601, identity, ETEC_sys_mat, " ('sys_mat_spec_dist', 'ETEC_sys_mat')", spearmanr, 0.974, 0.0364, kendalltau, 0.917, 0.0667, " ('ETEC_sys_mat', 'Wc_spec_dist')", spearmanr, 0.971, 0.0412, kendalltau, 0.913, 0.0727, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.996, 0.00688, kendalltau, 0.974, 0.0234, 
100, neg_laplacian, BA, 20, 8, 0.653, 2.22e-16, identity, ETEC_sys_mat, " ('sys_mat_spec_dist', 'ETEC_sys_mat')", spearmanr, 0.886, 0.0881, kendalltau, 0.766, 0.11, " ('ETEC_sys_mat', 'Wc_spec_dist')", spearmanr, 0.831, 0.099, kendalltau, 0.693, 0.115, " ('sys_mat_spec_dist', 'Wc_spec_dist')", spearmanr, 0.963, 0.0372, kendalltau, 0.882, 0.0605, 
